feature_id,current_model,candidate_model,accuracy_delta_pct,cost_delta_pct,monthly_savings_usd,confidence,rationale
FT_001,claude-sonnet-4-5,claude-haiku-4-5,-1.4,-66.7,182000,high,"Customer-service queries are short and templated; Haiku 4.5 passes 98% of the 200-probe eval suite. -1.4pp accuracy buys 67% cost reduction"
FT_002,claude-sonnet-4-5,claude-sonnet-4-5,0.0,0.0,0,high,"Wealth summaries are long-context and nuance-sensitive; keep Sonnet. No substitution."
FT_003,gpt-4o,gpt-4o-mini,-2.8,-94.0,38400,medium,"KYC doc reader extracts structured fields; mini-tier passes 96% of the structured-extraction eval. -2.8pp accuracy is acceptable below the doc-flag threshold; re-route flagged docs to gpt-4o on second-pass"
FT_004,claude-haiku-4-5,claude-haiku-4-5,0.0,0.0,0,high,"Already on fast-tier; right-sized"
FT_005,claude-sonnet-4-5,claude-sonnet-4-5,0.0,0.0,0,high,"ECOA adverse-action requires high precision on the rationale text; keep Sonnet"
FT_006,claude-opus-4-1,claude-sonnet-4-5,-3.1,-80.0,42000,medium,"Compliance summarization rarely uses Opus-tier reasoning chains; Sonnet 4.5 closes the gap at 1/5 the price"
FT_007,claude-sonnet-4-5,claude-haiku-4-5,-2.2,-66.7,16400,high,"Branch-banker lookups are short and templated; sub-second SLO benefits from Haiku latency"
FT_008,gpt-4o,gpt-4o,0.0,0.0,0,high,"Call summarization is long-context; gpt-4o-mini drops 8pp accuracy. Keep gpt-4o"
FT_009,claude-opus-4-1,DEAD_FEATURE,0.0,-100.0,28400,high,"Feature UI shut down 2026-03-15 but endpoint receives ~4,700 calls/day from a leaked SDK key. Recommend: kill the endpoint, not substitute"
FT_010,gpt-4o-mini,gpt-4o-mini,0.0,0.0,0,high,"Already at the right tier"
FT_011,claude-haiku-4-5,claude-haiku-4-5,0.0,0.0,0,high,"Already right-sized; sub-second SLO met"
FT_012,gpt-4o,gpt-4o-mini,-1.8,-94.0,18800,high,"Collections scripts are short and templated; mini-tier meets FDCPA-compliance probe set at 97.4%"
FT_013,gpt-4o,gpt-4o-mini,-3.4,-94.0,4200,medium,"Marketing variants tolerate some accuracy loss; A/B winners get promoted regardless"
FT_014,claude-haiku-4-5,claude-haiku-4-5,0.0,0.0,0,high,"Already right-sized; classification task is exactly Haiku's sweet spot"
FT_015,claude-opus-4-1,claude-opus-4-1,0.0,0.0,0,high,"Legal-discovery requires highest-tier reasoning; usage volume is low so absolute spend is tolerable"
FT_016,claude-sonnet-4-5,DECOMMISSION,0.0,-100.0,180,high,"Dormant — recommend full decommission. Endpoint cost is negligible but governance risk is not"
FT_017,gpt-4o-mini,DECOMMISSION,0.0,-100.0,0,high,"Already decommissioned in code; nothing to do"
FT_018,claude-sonnet-4-5,claude-sonnet-4-5,0.0,0.0,0,high,"SMB loan copilot generates revenue at 4.2x ROI on inference cost; keep current model"
