submarket,asset_class,quarter,vacancy_rate_pct,asking_rent_psf,cap_rate_avg_pct,source_feed,as_of_date
Brickell South,retail,2025-Q4,4.80,72.50,5.85,CoStar,2025-12-31
Brickell South,retail,2025-Q4,4.95,71.80,5.90,Reonomy,2025-12-31
Brickell South,retail,2025-Q3,5.10,71.25,5.95,CoStar,2025-09-30
Doral Industrial,industrial,2025-Q4,3.20,14.50,5.55,CoStar,2025-12-31
Doral Industrial,industrial,2025-Q4,3.35,14.40,5.60,Cherre,2025-12-31
Atlanta SE Industrial,industrial,2025-Q4,4.10,9.85,5.90,CoStar,2025-12-31
Atlanta SE Industrial,industrial,2025-Q4,4.05,9.75,5.95,Reonomy,2025-12-31
Atlanta SE Industrial,industrial,2025-Q3,4.40,9.70,5.95,CoStar,2025-09-30
Atlanta Buckhead,office,2025-Q4,14.20,36.00,6.85,CoStar,2025-12-31
Atlanta Buckhead,office,2025-Q4,14.45,35.80,6.90,Reonomy,2025-12-31
Phoenix North,multifamily,2025-Q4,6.40,1850.00,5.25,CoStar,2025-12-31
Phoenix North,multifamily,2025-Q4,6.50,1840.00,5.30,Cherre,2025-12-31
Tempe,multifamily,2025-Q4,5.85,1925.00,5.30,CoStar,2025-12-31
Tempe,multifamily,2025-Q4,5.80,1930.00,5.35,Reonomy,2025-12-31
Mesa,multifamily,2025-Q4,7.20,1685.00,5.40,CoStar,2025-12-31
Dallas Uptown,office,2025-Q4,18.80,38.50,7.00,CoStar,2025-12-31
Dallas Uptown,office,2025-Q4,19.05,38.25,7.10,Reonomy,2025-12-31
Plano West,office,2025-Q4,16.40,32.50,7.20,CoStar,2025-12-31
Bellevue Eastside,medical_office,2025-Q4,5.20,52.00,6.10,CoStar,2025-12-31
Bellevue Eastside,medical_office,2025-Q4,5.35,51.80,6.15,Reonomy,2025-12-31
Bellevue Eastside,medical_office,2024-Q3,4.20,49.50,6.40,CoStar,2024-09-30
South Sound,medical_office,2025-Q4,6.10,42.00,6.45,CoStar,2025-12-31
Chicago O'Hare Industrial,industrial,2025-Q4,4.85,8.95,5.70,CoStar,2025-12-31
Chicago O'Hare Industrial,industrial,2025-Q4,4.95,8.85,5.75,Cherre,2025-12-31
Chicago O'Hare Industrial,industrial,2025-Q4,5.05,8.90,5.78,Reonomy,2025-12-31
Chicago I-88 Corridor,industrial,2025-Q4,5.40,8.25,5.95,CoStar,2025-12-31
LA South Bay Industrial,industrial,2025-Q4,2.80,18.50,4.95,CoStar,2025-12-31
LA South Bay Industrial,industrial,2025-Q4,2.95,18.35,5.00,Cherre,2025-12-31
LA Central Industrial,industrial,2025-Q4,3.10,17.25,5.10,CoStar,2025-12-31
Inland Empire West,industrial,2025-Q4,4.20,16.50,4.85,CoStar,2025-12-31
Hudson Yards,office,2025-Q4,12.80,98.50,5.45,CoStar,2025-12-31
Hudson Yards,office,2025-Q4,13.05,97.80,5.50,Reonomy,2025-12-31
Midtown South,office,2025-Q4,15.20,72.50,5.85,CoStar,2025-12-31
Queens Industrial,industrial,2025-Q4,3.65,21.00,5.30,CoStar,2025-12-31
Brooklyn Industrial,industrial,2025-Q4,3.10,24.50,5.45,CoStar,2025-12-31
Tribeca,office,2025-Q4,11.40,88.00,5.65,CoStar,2025-12-31
Coral Gables,retail,2025-Q4,5.40,52.00,5.95,CoStar,2025-12-31
Miramar West,retail,2025-Q4,6.20,32.00,6.10,CoStar,2025-12-31
Coconut Grove,office,2025-Q4,13.60,58.50,6.05,CoStar,2025-12-31
Aventura,multifamily,2025-Q4,5.60,2625.00,5.10,CoStar,2025-12-31
Phoenix Sky Harbor,industrial,2025-Q4,4.50,11.40,5.80,CoStar,2025-12-31
North Dallas Industrial,industrial,2025-Q4,4.80,9.20,5.95,CoStar,2025-12-31
Miami Airport West,industrial,2025-Q4,4.20,12.80,5.70,CoStar,2025-12-31
