comp_id,property_name,address,city,state,submarket,asset_class,sale_date,sale_price_usd,sf,price_per_sf,cap_rate,buyer,seller,source_feed
SOT_001,Lakeshore Plaza,2400 Biscayne Blvd,Miami,FL,Brickell South,retail,2025-08-14,28500000,116300,245.05,5.85,Sterling REIT,Northstar Holdings,CoStar
SOT_002,Brickell Crossing,901 SW 8th St,Miami,FL,Brickell South,retail,2025-05-22,32100000,119800,267.95,5.70,Mariner Realty,Coastal Acquisitions,Reonomy
SOT_003,Miramar Town Center,11211 Miramar Pkwy,Miramar,FL,Miramar West,retail,2025-11-03,40050000,173200,231.23,6.10,Trio Capital,Greenleaf Partners,CoStar
SOT_004,Coral Way Marketplace,3460 Coral Way,Miami,FL,Coral Gables,retail,2025-09-17,28680000,120000,239.00,5.95,Cardinal Group,Vista Holdings,Cherre
SOT_005,Bayside Logistics Park,9100 NW 25th St,Doral,FL,Doral Industrial,industrial,2025-10-08,86400000,420000,205.71,5.55,Prologis,Sunbelt Industrial REIT,CoStar
SOT_006,Atlanta SE Distribution Hub,4500 Browns Mill Rd,Atlanta,GA,Atlanta SE Industrial,industrial,2025-07-29,34200000,180000,190.00,5.95,Stonebridge Capital,Eagle Industrial,CoStar
SOT_007,Buckhead Tower One,3344 Peachtree Rd NE,Atlanta,GA,Atlanta Buckhead,office,2025-06-11,114500000,560000,204.46,6.80,Argent Capital,Highland Office Group,Reonomy
SOT_008,Westside Last-Mile Center,1850 MLK Jr Dr NW,Atlanta,GA,Atlanta SE Industrial,industrial,2025-09-04,28200000,148800,189.52,5.85,Prologis,Forge Industrial,Cherre
SOT_009,Sandy Springs Logistics,1140 Hammond Dr,Sandy Springs,GA,Atlanta NE Industrial,industrial,2025-10-22,41800000,222000,188.29,5.78,Stonebridge Capital,Apex Realty,CoStar
SOT_010,Phoenix North Residences,18200 N 27th Ave,Phoenix,AZ,Phoenix North,multifamily,2025-08-30,67500000,240,281250.00,5.25,Sunbelt Apartment Trust,Madison Multifamily,CoStar
SOT_011,Desert Ridge Apartments,21000 N Tatum Blvd,Phoenix,AZ,Phoenix North,multifamily,2025-05-17,78400000,280,280000.00,5.20,Camden Property Trust,Trillium Living,Reonomy
SOT_012,Skyline Vista at Tempe,1430 E Apache Blvd,Tempe,AZ,Tempe,multifamily,2025-11-08,52800000,196,269387.76,5.30,Sunbelt Apartment Trust,Lattice Living,Cherre
SOT_013,Mesa Crossing Multifamily,2400 W Baseline Rd,Mesa,AZ,Mesa,multifamily,2025-09-25,46200000,180,256666.67,5.40,Camden Property Trust,Lattice Living,CoStar
SOT_014,Uptown Dallas Tower,2100 McKinney Ave,Dallas,TX,Dallas Uptown,office,2025-04-19,148800000,628000,236.94,6.95,Argent Capital,Highland Office Group,CoStar
SOT_015,Dallas Knox Henderson Plaza,3500 N Henderson Ave,Dallas,TX,Dallas Uptown,office,2025-07-02,98700000,425000,232.24,7.05,Pinnacle Office REIT,Northstar Holdings,Reonomy
SOT_016,Granite Park Six,5601 Granite Pkwy,Plano,TX,Plano West,office,2025-10-15,112400000,485000,231.75,7.20,Argent Capital,Tower Office Partners,Cherre
SOT_017,Bellevue MOB Plaza,1135 116th Ave NE,Bellevue,WA,Bellevue Eastside,medical_office,2025-08-21,45800000,98000,467.35,6.10,Healthcare REIT Partners,Vista Holdings,CoStar
SOT_018,Overlake Medical Park,1700 116th Ave NE,Bellevue,WA,Bellevue Eastside,medical_office,2025-06-05,52200000,112000,466.07,6.05,Healthcare REIT Partners,Cascade Medical,Reonomy
