feature_id,feature_name,owner_team,business_line,model_used,status,deployed_date,monthly_query_volume,avg_query_tokens,avg_response_tokens,retrieval_depth,p50_latency_ms,revenue_attributed_monthly_usd,notes
FT_001,customer-service-assistant,line1.contact-center,retail,claude-sonnet-4-5,active,2025-09-12,4200000,1800,420,5,1240,0,"Front-line customer-service copilot; supports tier-1 inbound queries. THE RUNAWAY — retrieval depth misconfigured to 50 on 2026-05-01"
FT_002,wealth-portfolio-summary,line1.wealth,wealth,claude-sonnet-4-5,active,2025-11-03,98000,2400,820,8,1830,1240000,"End-of-month wealth statement narrative; advisor-facing"
FT_003,kyc-doc-reader,line1.financial-crime,retail,gpt-4o,active,2025-10-18,612000,3200,180,4,2100,0,"KYC document extraction; reduces analyst review time"
FT_004,fraud-explainer,line1.fraud,retail,claude-haiku-4-5,active,2026-01-14,1840000,640,180,2,420,0,"Customer-facing explanation of why a transaction was blocked"
FT_005,loan-rationale-generator,line1.credit-risk,retail,claude-sonnet-4-5,active,2025-08-22,84000,2100,520,6,1720,0,"Adverse action notice generation under ECOA fair-lending requirements"
FT_006,compliance-summarizer,line2.compliance,enterprise,claude-opus-4-1,active,2025-12-01,12400,8400,3200,18,8200,0,"Regulatory filing summarization for compliance L2 team"
FT_007,branch-banker-copilot,line1.branch,retail,claude-sonnet-4-5,active,2026-02-08,420000,1400,380,4,1180,0,"In-branch teller-side product lookup and account explanation"
FT_008,sales-call-summarizer,line1.cib-sales,wealth,gpt-4o,active,2025-09-30,38000,12000,1800,1,4200,640000,"Post-call CRM summary for CIB sales team"
FT_009,internal-research-copilot,line2.research,enterprise,claude-opus-4-1,active,2025-07-15,142000,4200,1600,12,5800,0,"Internal-research-only copilot over the bank's research library. THE DEAD FEATURE — UI shut down 2026-03-15"
FT_010,statement-translator,line1.contact-center,retail,gpt-4o-mini,active,2025-12-22,2100000,820,280,1,640,0,"Translate bank statements into Spanish/Chinese/Vietnamese for customer service"
FT_011,onboarding-chatbot,line1.onboarding,retail,claude-haiku-4-5,active,2026-01-08,840000,820,240,2,520,0,"New-account onboarding Q&A; sub-second SLO"
FT_012,collections-script-generator,line1.collections,retail,gpt-4o,active,2025-11-15,184000,1600,820,3,1320,420000,"FDCPA-compliant collections script personalization"
FT_013,marketing-copy-variants,line1.marketing,retail,gpt-4o,active,2026-02-22,42000,1200,1800,1,2800,180000,"A/B test variant generation for product marketing"
FT_014,research-note-classifier,line1.cib-research,wealth,claude-haiku-4-5,active,2025-10-04,1840000,1400,80,1,310,0,"Tag CIB research notes for the research-library index"
FT_015,paralegal-discovery-assistant,line2.legal,enterprise,claude-opus-4-1,active,2025-08-30,4200,18000,4800,22,12400,0,"Legal-discovery document review; restricted to legal team"
FT_016,trading-floor-news-summarizer,line1.trading,wealth,claude-sonnet-4-5,dormant,2025-06-12,84,1800,420,4,1340,0,"Decommissioned UI; pilot ended 2026-02-01. THE DORMANT FEATURE — calls fell to ~3/day but endpoint still live"
FT_017,branch-feedback-summarizer,line1.branch,retail,gpt-4o-mini,decommissioned,2025-04-22,0,0,0,0,0,0,"Decommissioned 2026-03-30; no live traffic"
FT_018,smb-loan-copilot,line1.smb-lending,retail,claude-sonnet-4-5,active,2026-03-12,98000,2200,640,5,1620,820000,"SMB loan officer assistant; closes deals 14% faster"
